genre_ids,original_language,popularity,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,release_date,production_budget,worldwide_gross,genre_names
"[18, 36]",en,7.763,Suffragette,7.3,982,Focus,4700000.0,11300000.0,2015,"Oct 23, 2015",14000000,34044909,"['Drama', 'History']"
[18],en,7.76,Woman in Gold,7.4,787,Wein.,33299999.0,28300000.0,2015,"Apr 1, 2015",11000000,58586407,['Drama']
"[18, 35]",en,7.731,The Second Best Exotic Marigold Hotel,6.4,420,FoxS,33100000.0,52900000.0,2015,"Mar 6, 2015",10000000,90384306,"['Drama', 'Comedy']"
[18],en,7.661,Manglehorn,5.4,94,IFC,143000.0,0.0,2015,"Jun 19, 2015",4000000,797439,['Drama']
[18],tr,7.459,Mustang,8.0,755,Cohen,845000.0,0.0,2015,"Nov 20, 2015",1400000,5552584,['Drama']
"[18, 10749]",en,7.419,War Room,7.5,171,TriS,67800000.0,0.0,2015,"Aug 28, 2015",3000000,73975239,"['Drama', 'Romance']"
"[10749, 18]",en,7.313,Freeheld,7.3,360,LGF,573000.0,0.0,2015,"Oct 2, 2015",7000000,1732228,"['Romance', 'Drama']"
"[28, 35, 18]",hi,7.122,Bajrangi Bhaijaan,7.9,232,Eros,8199999.0,0.0,2015,"Jul 17, 2015",13000000,121778347,"['Action', 'Comedy', 'Drama']"
"[12, 35, 18]",en,6.935,A Walk in the Woods,5.9,402,BG,29500000.0,8000000.0,2015,"Sep 2, 2015",8000000,37119358,"['Adventure', 'Comedy', 'Drama']"
"[18, 53]",en,6.727,The Perfect Guy,5.7,211,SGem,57000000.0,3200000.0,2015,"Sep 11, 2015",18000000,60278166,"['Drama', 'Thriller']"
"[18, 10749]",en,6.471,By the Sea,5.4,306,Uni.,538000.0,2800000.0,2015,"Nov 13, 2015",20000000,3727746,"['Drama', 'Romance']"
"[18, 53, 9648]",en,5.91,Strangerland,5.2,135,Alc,17500.0,0.0,2015,"Jul 10, 2015",10000000,161097,"['Drama', 'Thriller', 'Mystery']"
"[35, 18, 10752]",en,5.805,Little Boy,7.0,292,ORF,6500000.0,0.0,2015,"Apr 24, 2015",20000000,17769299,"['Comedy', 'Drama', 'War']"
"[14, 18]",en,5.599,Do You Believe?,7.0,72,PFR,13000000.0,1400000.0,2015,"Mar 20, 2015",2300000,14304931,"['Fantasy', 'Drama']"
[18],en,5.575,Woodlawn,7.0,79,PFR,14400000.0,0.0,2015,"Oct 16, 2015",13000000,14403703,['Drama']
"[9648, 18, 27]",fr,4.208,Evolution,6.3,73,IFC,24800.0,0.0,2016,"Jun 8, 2001",80000000,98341932,"['Mystery', 'Drama', 'Horror']"
[18],en,1.508,Desert Dancer,6.9,33,Rela.,155000.0,0.0,2015,"Apr 10, 2015",4000000,596335,['Drama']
"[10402, 99]",fr,0.6,They Will Have to Kill Us First,5.0,1,BBC,7500.0,0.0,2016,"Mar 4, 2016",600000,7943,"['Music', 'Documentary']"
"[28, 12, 878, 14]",en,39.293,X-Men: Apocalypse,6.5,8348,Fox,155400000.0,388500000.0,2016,"May 27, 2016",178000000,542537546,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']"
"[12, 28, 878]",en,39.137,Captain America: Civil War,7.4,14000,BV,408100000.0,745200000.0,2016,"May 6, 2016",250000000,1140069413,"['Adventure', 'Action', 'Science Fiction']"
"[28, 12, 35]",en,35.067,Deadpool,7.6,20175,Fox,363100000.0,420000000.0,2016,"Feb 12, 2016",58000000,801025593,"['Action', 'Adventure', 'Comedy']"
"[28, 12, 14, 878]",en,33.035,Doctor Strange,7.3,12582,BV,232600000.0,445100000.0,2016,"Nov 4, 2016",165000000,676404566,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
"[18, 10749]",en,29.887,The Light Between Oceans,7.1,831,BV,12500000.0,13400000.0,2016,"Sep 2, 2016",20000000,22281732,"['Drama', 'Romance']"
"[28, 12, 14]",en,28.088,Batman v Superman: Dawn of Justice,5.8,11991,WB,330400000.0,543300000.0,2016,"Mar 25, 2016",250000000,867500281,"['Action', 'Adventure', 'Fantasy']"
"[16, 12, 10751, 35]",en,27.549,Zootopia,7.7,9977,BV,341300000.0,682500000.0,2016,"Mar 4, 2016",150000000,1019429616,"['Animation', 'Adventure', 'Family', 'Comedy']"
"[28, 35, 53]",en,25.805,Now You See Me 2,6.8,6744,LG/S,65099999.0,269800000.0,2016,"Jun 10, 2016",90000000,328325007,"['Action', 'Comedy', 'Thriller']"
"[18, 878, 9648]",en,25.442,Arrival,7.4,10387,Par.,100500000.0,102800000.0,2016,"Nov 11, 2016",47000000,203127894,"['Drama', 'Science Fiction', 'Mystery']"
"[18, 36, 10752]",en,24.074,Hacksaw Ridge,8.1,6608,LGF,67200000.0,108100000.0,2016,"Nov 4, 2016",40000000,168904682,"['Drama', 'History', 'War']"
"[28, 18, 36, 53, 10752]",en,21.486,13 Hours: The Secret Soldiers of Benghazi,7.0,1573,Par.,52900000.0,16600000.0,2016,"Jan 15, 2016",50000000,69411370,"['Action', 'Drama', 'History', 'Thriller', 'War']"
"[28, 12, 14]",en,21.464,Warcraft,6.3,4071,Uni.,47400000.0,386300000.0,2016,"Jun 10, 2016",160000000,425522281,"['Action', 'Adventure', 'Fantasy']"
"[28, 12, 878]",en,21.401,Rogue One: A Star Wars Story,7.5,9296,BV,532200000.0,523900000.0,2016,"Dec 16, 2016",200000000,1049102856,"['Action', 'Adventure', 'Science Fiction']"
"[12, 10751, 14]",en,20.08,The BFG,6.2,1916,BV,55500000.0,127900000.0,2016,"Jul 1, 2016",140000000,199646680,"['Adventure', 'Family', 'Fantasy']"
"[28, 18, 10752, 10749, 53]",en,19.611,Allied,6.7,2765,Par.,40100000.0,79400000.0,2016,"Nov 23, 2016",106000000,119266661,"['Action', 'Drama', 'War', 'Romance', 'Thriller']"
"[28, 12, 878]",en,19.142,Star Trek Beyond,6.7,4275,Par.,158800000.0,184600000.0,2016,"Jul 22, 2016",185000000,335802233,"['Action', 'Adventure', 'Science Fiction']"
"[28, 27, 53]",en,18.975,The Purge: Election Year,6.3,2900,Uni.,79200000.0,39400000.0,2016,"Jul 1, 2016",10000000,118514727,"['Action', 'Horror', 'Thriller']"
"[28, 12, 14, 878]",en,18.517,Gods of Egypt,5.4,2353,LG/S,31200000.0,119500000.0,2016,"Feb 26, 2016",140000000,138836756,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
"[12, 16, 10751, 35]",en,18.233,Ice Age: Collision Course,5.9,2430,Fox,64099999.0,344500000.0,2016,"Jul 22, 2016",105000000,402156682,"['Adventure', 'Animation', 'Family', 'Comedy']"
"[18, 36]",en,18.148,Sully,7.1,3924,WB,125100000.0,115700000.0,2016,"Sep 9, 2016",60000000,238524556,"['Drama', 'History']"
"[16, 12, 35]",en,17.998,The Angry Birds Movie,6.0,1851,Sony,107500000.0,244800000.0,2016,"May 20, 2016",73000000,352327887,"['Animation', 'Adventure', 'Comedy']"
"[53, 878, 18]",en,17.892,10 Cloverfield Lane,6.9,4629,Par.,72100000.0,38100000.0,2016,"Mar 11, 2016",5000000,108286422,"['Thriller', 'Science Fiction', 'Drama']"
[35],en,17.662,Neighbors 2: Sorority Rising,5.7,2829,Uni.,55500000.0,52600000.0,2016,"May 20, 2016",35000000,108757621,['Comedy']
"[16, 35, 18, 10751]",en,17.572,Sing,6.9,4303,Uni.,270400000.0,363800000.0,2016,"Dec 21, 2016",75000000,634454789,"['Animation', 'Comedy', 'Drama', 'Family']"
"[9648, 53, 18]",en,17.41,Inferno,5.9,3877,Sony,34300000.0,185700000.0,2016,"Oct 28, 2016",75000000,219519367,"['Mystery', 'Thriller', 'Drama']"
[18],en,17.216,Lion,8.1,3833,Wein.,51700000.0,88600000.0,2016,"Nov 25, 2016",12000000,149570720,['Drama']
"[28, 53]",en,17.085,Jack Reacher: Never Go Back,5.6,2831,Par.,58700000.0,103400000.0,2016,"Oct 21, 2016",60000000,159946489,"['Action', 'Thriller']"
"[18, 10749]",en,16.917,Me Before You,7.7,5939,WB (NL),56200000.0,152100000.0,2016,"Jun 3, 2016",20000000,208265198,"['Drama', 'Romance']"
"[12, 10751, 14]",en,16.642,Alice Through the Looking Glass,6.5,3803,BV,77000000.0,222400000.0,2016,"May 27, 2016",170000000,276928112,"['Adventure', 'Family', 'Fantasy']"
[18],en,16.638,Manchester by the Sea,7.5,3176,RAtt.,47700000.0,31300000.0,2016,"Nov 18, 2016",8500000,77733867,['Drama']
"[28, 12, 80, 14, 878]",en,16.53,Suicide Squad,5.9,13533,WB,325100000.0,421700000.0,2016,"Aug 5, 2016",175000000,746059887,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']"
